GoldbachLean/Cellmom.lean:80:0: 'Cellmom.sum_sq_eq_three_terms' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Cellmom.lean:81:0: 'Cellmom.two_term_form_is_off_by' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Permnum.lean:291:0: 'Permnum.permnum_closed_form' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Permnum.lean:292:0: 'Permnum.sum_powersetCard_double' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Permnum.lean:293:0: 'Permnum.choose_arith' depends on axioms: [propext, Quot.sound]
GoldbachLean/Scaleinv.lean:196:0: 'Scaleinv.rankin_head' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Scaleinv.lean:197:0: 'Scaleinv.rankin_tail' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Scaleinv.lean:198:0: 'Scaleinv.card_residue_range' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Scaleinv.lean:199:0: 'Scaleinv.card_residue_close' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Scaleinv.lean:200:0: 'Scaleinv.blocks_cancel' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Scaleinv.lean:201:0: 'Scaleinv.relative_error_has_no_m' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Guards.lean:114:0: 'Guards.per_cell_floor_is_not_a_function_of_size' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Guards.lean:115:0: 'Guards.per_cell_floor_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Guards.lean:116:0: 'Guards.diagonal_only_kernel_sees_only_size' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Guards.lean:117:0: 'Guards.feasible_point_bounds_the_min' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Statements.lean:205:0: 'Statements.cellmom_variance_is_three_terms' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Statements.lean:206:0: 'Statements.permnum_closed_form' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Statements.lean:207:0: 'Statements.placebo_key' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Statements.lean:208:0: 'Statements.scaleinv_two_bands' depends on axioms: [propext, sorryAx, Classical.choice, Quot.sound]
GoldbachLean/Layers.lean:147:0: 'Layers.layers_exchange' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Layers.lean:148:0: 'Layers.layer_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Layers.lean:149:0: 'Layers.flatsum_flat' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Layers.lean:150:0: 'Layers.flatsum_log' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Layers.lean:151:0: 'Layers.flatsum_same_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Layers.lean:152:0: 'Layers.dilate_pull' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Layers.lean:153:0: 'Layers.posweights_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Layers.lean:154:0: 'Layers.posweights_sign' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Layers.lean:155:0: 'Layers.untrunc_reindex' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Layers.lean:156:0: 'Layers.combined_flatten' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Layers.lean:157:0: 'Layers.combined_card' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Fixedclass.lean:237:0: 'Fixedclass.meanterm_factors' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Fixedclass.lean:238:0: 'Fixedclass.meanterm_does_not_factor_when_k_dependent' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Fixedclass.lean:239:0: 'Fixedclass.switch_exchange' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Fixedclass.lean:240:0: 'Fixedclass.switch_reindex' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Fixedclass.lean:241:0: 'Fixedclass.complete_minus_tail' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Fixedclass.lean:242:0: 'Fixedclass.divisor_pairs' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Fixedclass.lean:243:0: 'Fixedclass.T_flat' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Fixedclass.lean:244:0: 'Fixedclass.T_log' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Fixedclass.lean:245:0: 'Fixedclass.T_same_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Fixedclass.lean:246:0: 'Fixedclass.switch_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Fixedclass.lean:247:0: 'Fixedclass.switch_needs_the_translation' depends on axioms: [propext, Classical.choice, Quot.sound]
GoldbachLean/Fixedclass.lean:248:0: 'Fixedclass.switch_guard_bijection_holds' depends on axioms: [propext, Classical.choice, Quot.sound]
